CODUSU;NRO_HOGAR;REALIZADA;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;IH_II_01;IH_II_02
"TQRMNOQPSHLMMLCDEFIAH00646768";1;1;2019;4;2;539;2;2
"TQRMNOQPTHMKKQCDEFIAH00646757";1;1;2019;4;2;1189;1;1
"TQRMNOQPUHLMMLCDEFIAH00646734";1;1;2019;4;2;539;1;1
"TQRMNOQPUHMOLQCDEFIAH00640527";1;1;2019;4;2;498;2;2
"TQRMNOQPVHMMKTCDEFIAH00640429";1;1;2019;4;2;586;1;1
"TQRMNOQPWHJLKRCDEFIAH00622892";1;1;2019;4;2;738;1;1
"TQRMNOQPWHKMLNCDEFIAH00617371";1;1;2019;4;2;579;1;1
"TQRMNOQPWHMOLQCDEFIAH00640500";1;1;2019;4;2;498;1;1
"TQRMNOQPXHKMLNCDEFIAH00617448";1;1;2019;4;2;579;1;1
"TQRMNOQPXHMMKTCDEFIAH00640485";1;1;2019;4;2;586;1;1
"TQRMNOQPXHMOLQCDEFIAH00640542";1;1;2019;4;2;498;2;2
"TQRMNOQPYHKMLNCDEFIAH00617383";1;1;2019;4;2;579;1;1
"TQRMNOQPYHKNLPCDEFIAH00640543";1;1;2019;4;2;426;2;2
"TQRMNOQQPHKMLNCDEFIAH00646760";1;1;2019;4;2;579;1;1
"TQRMNOQQSHMNKMCDEFIAH00640514";1;1;2019;4;2;722;2;2
"TQRMNOQQTHMKKSCDEFIAH00640482";1;1;2019;4;2;996;1;1
"TQRMNOQQTHMMLLCDEFIAH00646704";1;1;2019;4;2;604;1;2
"TQRMNOQQUHMKKSCDEFIAH00640428";1;1;2019;4;2;996;1;1
"TQRMNOQQUHMNKMCDEFIAH00640451";1;1;2019;4;2;722;2;2
"TQRMNOQQVHKNLPCDEFIAH00646688";1;1;2019;4;2;426;2;1
"TQRMNOQQVHLNKNCDEFIAH00646667";1;1;2019;4;2;728;2;1
"TQRMNOQQVHMNKMCDEFIAH00646675";1;1;2019;4;2;722;2;1
"TQRMNOQQWHKNLPCDEFIAH00640501";1;1;2019;4;2;426;1;1
"TQRMNOQQWHMNKMCDEFIAH00640442";1;1;2019;4;2;722;1;1
"TQRMNOQQXHKNLPCDEFIAH00622925";1;1;2019;4;2;426;2;1
"TQRMNOQQXHLNKNCDEFIAH00646723";1;1;2019;4;2;728;1;1
"TQRMNOQQYHKOMLCDEFIAH00617382";1;1;2019;4;2;729;1;1
"TQRMNOQQYHLNKNCDEFIAH00646687";1;1;2019;4;2;728;2;1
"TQRMNOQRPHLNKNCDEFIAH00646726";1;1;2019;4;2;728;2;1
"TQRMNOQRQHKOMLCDEFIAH00640552";1;1;2019;4;2;729;2;1
"TQRMNOQRQHMKKSCDEFIAH00640465";1;1;2019;4;2;996;1;1
"TQRMNOQRRHLMLNCDEFIAH00646752";1;1;2019;4;2;598;1;1
"TQRMNOQRSHKOMLCDEFIAH00622869";1;1;2019;4;2;729;2;1
"TQRMNOQRSHLLLLCDEFIAH00646661";1;1;2019;4;2;655;1;1
"TQRMNOQRTHLLLLCDEFIAH00646750";1;1;2019;4;2;655;1;1
"TQRMNOQRVHLLLLCDEFIAH00646751";1;1;2019;4;2;655;1;1
"TQRMNOQRWHLLLLCDEFIAH00646639";1;1;2019;4;2;655;1;1
"TQRMNOQRYHJMKQCDEFIAH00622995";2;1;2019;4;2;553;1;1
"TQRMNOQRYHLMLNCDEFIAH00646648";1;1;2019;4;2;598;1;1
"TQRMNOQSPHJMKQCDEFIAH00622952";1;1;2019;4;2;553;2;2
"TQRMNOQSQHLMLTCDEFIAH00646719";1;1;2019;4;2;520;1;1
"TQRMNOQSQHMMLLCDEFIAH00646647";1;1;2019;4;2;604;2;2
"TQRMNOQSRHJOLTCDEFIAH00622974";1;1;2019;4;2;511;1;1
"TQRMNOQSSHJOLTCDEFIAH00622961";1;1;2019;4;2;511;1;1
"TQRMNOQSSHLMLTCDEFIAH00646694";1;1;2019;4;2;520;1;1
"TQRMNOQSTHJOLTCDEFIAH00622873";1;1;2019;4;2;511;2;1
"TQRMNOQSTHKMLMCDEFIAH00617486";1;1;2019;4;2;568;2;2
"TQRMNOQSTHLMLTCDEFIAH00646730";1;1;2019;4;2;520;1;1
"TQRMNOQSTHMMLNCDEFIAH00640454";1;1;2019;4;2;522;1;1
"TQRMNOQSUHJOLTCDEFIAH00622991";1;1;2019;4;2;511;2;1
"TQRMNOQSUHKMLMCDEFIAH00617445";1;1;2019;4;2;568;2;2
"TQRMNOQSUHLMLTCDEFIAH00646695";1;1;2019;4;2;520;1;1
"TQRMNOQSUHMMLNCDEFIAH00640425";1;1;2019;4;2;522;2;1
"TQRMNOQSVHJMKQCDEFIAH00646673";1;1;2019;4;2;553;1;1
"TQRMNOQSVHMLKUCDEFIAH00640421";1;1;2019;4;2;755;2;1
"TQRMNOQSVHMMLNCDEFIAH00640487";1;1;2019;4;2;522;1;1
"TQRMNOQSWHJMKQCDEFIAH00646713";1;1;2019;4;2;553;1;1
"TQRMNOQSXHMLKUCDEFIAH00640504";1;1;2019;4;2;755;1;1
"TQRMNOQSXHMMLNCDEFIAH00640557";1;1;2019;4;2;522;2;1
"TQRMNOQTPHJOLQCDEFIAH00622888";1;1;2019;4;2;876;2;2
"TQRMNOQTQHLMLPCDEFIAH00646772";1;1;2019;4;2;552;1;1
"TQRMNOQTRHKMLMCDEFIAH00617438";1;1;2019;4;2;568;2;2
"TQRMNOQTRHLOKRCDEFIAH00646658";1;1;2019;4;2;547;1;1
"TQRMNOQTSHJOLQCDEFIAH00622967";1;1;2019;4;2;876;2;1
"TQRMNOQTSHKMLMCDEFIAH00617449";1;1;2019;4;2;568;2;1
"TQRMNOQTTHJOLQCDEFIAH00623011";1;1;2019;4;2;876;1;1
"TQRMNOQTTHLOKRCDEFIAH00646711";1;1;2019;4;2;547;1;1
"TQRMNOQTUHLOKRCDEFIAH00646635";1;1;2019;4;2;547;1;1
"TQRMNOQTVHLOKRCDEFIAH00646756";1;1;2019;4;2;547;1;1
"TQRMNOQTWHJMLUCDEFIAH00628430";1;1;2019;4;2;536;1;1
"TQRMNOQUSHJMLUCDEFIAH00628462";1;1;2019;4;2;536;1;1
"TQRMNOQUSHKMKOCDEFIAH00640446";1;1;2019;4;2;526;2;1
"TQRMNOQUTHJMLUCDEFIAH00628457";1;1;2019;4;2;536;1;1
"TQRMNOQUTHKMKOCDEFIAH00623007";1;1;2019;4;2;526;1;1
"TQRMNOQUTHMMMLCDEFIAH00640406";1;1;2019;4;2;605;1;1
"TQRMNOQUUHJMKTCDEFIAH00646762";1;1;2019;4;2;524;2;1
"TQRMNOQUUHJMLUCDEFIAH00622891";1;1;2019;4;2;536;1;1
"TQRMNOQUUHKMKOCDEFIAH00617425";1;1;2019;4;2;526;1;2
"TQRMNOQUUHMMMLCDEFIAH00640499";1;1;2019;4;2;605;1;1
"TQRMNOQUVHKMKOCDEFIAH00640453";1;1;2019;4;2;526;2;1
"TQRMNOQUVHMMMLCDEFIAH00640407";1;1;2019;4;2;605;1;1
"TQRMNOQUWHJOLTCDEFIAH00646631";1;1;2019;4;2;511;2;1
"TQRMNOQUWHMMMLCDEFIAH00640408";1;1;2019;4;2;605;2;2
"TQRMNOQUXHMMMLCDEFIAH00640480";1;1;2019;4;2;605;2;2
"TQRMNOQVQHJMKTCDEFIAH00623023";1;1;2019;4;2;524;2;1
"TQRMNOQVQHJOLTCDEFIAH00628468";2;1;2019;4;2;511;1;1
"TQRMNOQVQHLKKSCDEFIAH00646638";1;1;2019;4;2;1131;1;1
"TQRMNOQVRHJMKTCDEFIAH00622913";1;1;2019;4;2;524;2;1
"TQRMNOQVSHMMLPCDEFIAH00640436";1;1;2019;4;2;563;1;1
"TQRMNOQVTHMMLPCDEFIAH00640524";1;1;2019;4;2;563;2;1
"TQRMNOQVUHMMLPCDEFIAH00640437";1;1;2019;4;2;563;1;1
"TQRMNOQVVHLOLSCDEFIAH00646681";1;1;2019;4;2;657;2;1
"TQRMNOQVVHMOLTCDEFIAH00640462";1;1;2019;4;2;852;1;2
