"CODUSU","NRO_HOGAR","REALIZADA","ANO4","TRIMESTRE","AGLOMERADO","POND_TIC","IH_II_01","IH_II_02"
"TQRMNOQURHMOLRCDEFIAH00498076",1,1,2016,4,2,1235,1,1
"TQRMNOQUSHJNLRCDEFIAH00497938",1,1,2016,4,2,491,1,1
"TQRMNOQUSHJOMMCDEFIAH00498029",1,1,2016,4,2,758,2,1
"TQRMNOQUSHKMLMCDEFIAH00498126",1,1,2016,4,2,583,2,2
"TQRMNOQUSHMOLRCDEFIAH00487713",1,1,2016,4,2,1235,2,1
"TQRMNOQUTHJOMMCDEFIAH00498002",1,1,2016,4,2,758,2,1
"TQRMNOQUTHKOLTCDEFIAH00497936",1,1,2016,4,2,506,2,1
"TQRMNOQUUHJOLTCDEFIAH00497941",1,1,2016,4,2,630,1,1
"TQRMNOQUUHJOMMCDEFIAH00498003",1,1,2016,4,2,758,1,1
"TQRMNOQUUHKMLMCDEFIAH00487850",1,1,2016,4,2,583,1,1
"TQRMNOQUUHKOLTCDEFIAH00497975",1,1,2016,4,2,506,1,1
"TQRMNOQUUHMOLRCDEFIAH00498020",1,1,2016,4,2,1235,1,1
"TQRMNOQUWHKMKTCDEFIAH00497979",1,1,2016,4,2,613,2,2
"TQRMNOQUWHKOLTCDEFIAH00497986",1,1,2016,4,2,506,2,1
"TQRMNOQUWHLOLSCDEFIAH00497949",1,1,2016,4,2,768,2,2
"TQRMNOQUXHLOLSCDEFIAH00497970",1,1,2016,4,2,768,1,1
"TQRMNOQUYHKMKTCDEFIAH00487659",1,1,2016,4,2,613,2,2
"TQRMNOQUYHLOLSCDEFIAH00497932",1,1,2016,4,2,768,2,2
"TQRMNOQVPHKMKTCDEFIAH00487660",1,1,2016,4,2,613,1,1
"TQRMNOQVQHMMMLCDEFIAH00498158",1,1,2016,4,2,591,2,1
"TQRMNOQVSHMMMLCDEFIAH00487838",1,1,2016,4,2,591,2,2
"TQRMNOQVTHMMMLCDEFIAH00487839",1,1,2016,4,2,591,1,1
"TQRMNOQVUHMMMLCDEFIAH00487840",1,1,2016,4,2,591,2,2
"TQRMNOQWQHKMLNCDEFIAH00487728",1,1,2016,4,2,588,1,1
"TQRMNOQWRHKOMLCDEFIAH00498110",1,1,2016,4,2,821,1,1
"TQRMNOQWTHKMLNCDEFIAH00487711",1,1,2016,4,2,588,1,1
"TQRMNOQWTHKOMLCDEFIAH00487814",1,1,2016,4,2,821,1,1
"TQRMNOQWUHKMLNCDEFIAH00487756",1,1,2016,4,2,588,1,1
"TQRMNOQWUHKOMLCDEFIAH00487853",1,1,2016,4,2,821,1,1
"TQRMNOQXRHKMKUCDEFIAH00487772",1,1,2016,4,2,615,1,1
"TQRMNOQXRHLMLNCDEFIAH00497907",1,1,2016,4,2,515,1,1
"TQRMNOQXSHKMKUCDEFIAH00487865",1,1,2016,4,2,615,1,1
"TQRMNOQXSHLMLNCDEFIAH00497934",1,1,2016,4,2,515,1,1
"TQRMNOQXTHLMLNCDEFIAH00497909",1,1,2016,4,2,515,1,1
"TQRMNOQXUHLMLNCDEFIAH00497904",1,1,2016,4,2,515,1,1
"TQRMNOQXVHJMKQCDEFIAH00498111",1,1,2016,4,2,568,1,1
"TQRMNOQXWHKMLQCDEFIAH00487721",1,1,2016,4,2,554,1,1
"TQRMNOQXXHJMKQCDEFIAH00498102",1,1,2016,4,2,568,1,1
"TQRMNOQXXHKMLQCDEFIAH00487722",1,1,2016,4,2,554,1,1
"TQRMNOQXYHKMLQCDEFIAH00487730",1,1,2016,4,2,554,1,1
"TQRMNOQYPHKMLQCDEFIAH00487701",1,1,2016,4,2,554,2,2
"TQRMNOQYQHLKKSCDEFIAH00498132",1,1,2016,4,2,1003,2,2
"TQRMNOQYUHLKKSCDEFIAH00498155",1,1,2016,4,2,1003,1,2
"TQRMNOQYVHMMKTCDEFIAH00487762",1,1,2016,4,2,576,2,2
"TQRMNOQYWHMOKNCDEFIAH00487748",1,1,2016,4,2,793,2,1
"TQRMNOQYXHJKKSCDEFIAH00498015",1,1,2016,4,2,1138,1,1
"TQRMNOQYXHKKKPCDEFIAH00487683",1,1,2016,4,2,943,1,1
"TQRMNOQYXHKNLPCDEFIAH00498067",1,1,2016,4,2,545,1,1
"TQRMNOQYXHMMKTCDEFIAH00487737",1,1,2016,4,2,576,1,1
"TQRMNOQYYHKKKPCDEFIAH00487621",1,1,2016,4,2,943,1,1
"TQRMNOQYYHKNLPCDEFIAH00498081",1,1,2016,4,2,545,1,1
"TQRMNOQYYHMOKNCDEFIAH00487705",1,1,2016,4,2,793,1,1
"TQRMNORPPHKKKPCDEFIAH00487684",1,1,2016,4,2,943,1,1
"TQRMNORPPHMOKNCDEFIAH00487752",1,1,2016,4,2,793,2,1
"TQRMNORPQHMLKRCDEFIAH00498136",1,1,2016,4,2,972,1,1
"TQRMNORPRHJOLNCDEFIAH00498113",1,1,2016,4,2,791,1,1
"TQRMNORPRHMLKRCDEFIAH00487803",2,1,2016,4,2,972,1,1
"TQRMNORPSHJOLNCDEFIAH00498120",1,1,2016,4,2,791,1,1
"TQRMNORPUHMLKRCDEFIAH00487771",1,1,2016,4,2,972,1,1
"TQRMNORPVHLNKNCDEFIAH00498069",1,1,2016,4,2,776,1,1
"TQRMNORPXHJLLLCDEFIAH00498042",1,1,2016,4,2,928,1,1
"TQRMNORPXHLNKNCDEFIAH00498036",1,1,2016,4,2,776,2,2
"TQRMNORPYHLNKNCDEFIAH00498071",1,1,2016,4,2,776,1,1
"TQRMNORQPHLNKNCDEFIAH00498043",1,1,2016,4,2,776,1,1
"TQRMNORQQHKMKNCDEFIAH00487769",1,1,2016,4,2,575,1,1
"TQRMNORQRHKMKNCDEFIAH00498114",1,1,2016,4,2,575,1,1
"TQRMNORQTHKMKNCDEFIAH00487792",1,1,2016,4,2,575,1,1
"TQRMNORQVHKOLOCDEFIAH00487822",1,1,2016,4,2,792,2,1
"TQRMNORQVHLMKOCDEFIAH00498070",1,1,2016,4,2,533,2,2
"TQRMNORQWHKOLOCDEFIAH00487870",1,1,2016,4,2,792,2,2
"TQRMNORQXHKOLOCDEFIAH00487851",1,1,2016,4,2,792,2,1
"TQRMNORQXHLMKOCDEFIAH00498026",1,1,2016,4,2,533,2,2
"TQRMNORRPHKOLOCDEFIAH00487871",1,1,2016,4,2,792,2,1
"TQRMNORRPHLMKOCDEFIAH00498004",1,1,2016,4,2,533,1,1
"TQRMNORRQHKOLUCDEFIAH00487855",1,1,2016,4,2,742,1,1
"TQRMNORRRHJMMLCDEFIAH00498021",1,1,2016,4,2,555,1,1
"TQRMNORRRHKOLUCDEFIAH00487845",1,1,2016,4,2,742,1,1
"TQRMNORRSHKOLUCDEFIAH00487869",1,1,2016,4,2,742,2,2
"TQRMNORRSHMMLUCDEFIAH00498048",1,1,2016,4,2,616,1,1
"TQRMNORRTHJLKUCDEFIAH00497995",1,1,2016,4,2,806,2,2
"TQRMNORRTHJMMLCDEFIAH00498005",1,1,2016,4,2,555,1,1
"TQRMNORRTHKOLUCDEFIAH00487856",1,1,2016,4,2,742,1,1
"TQRMNORRTHMMLUCDEFIAH00487692",1,1,2016,4,2,616,1,1
"TQRMNORRUHJLKUCDEFIAH00498010",1,1,2016,4,2,806,1,1
"TQRMNORRVHMMLUCDEFIAH00487785",1,1,2016,4,2,616,1,1
"TQRMNORRWHLLLLCDEFIAH00498087",1,1,2016,4,2,806,2,1
"TQRMNORRYHJMLOCDEFIAH00498123",1,1,2016,4,2,558,1,1
"TQRMNORSPHJMLOCDEFIAH00498104",1,1,2016,4,2,558,1,1
"TQRMNORSPHLLLLCDEFIAH00498088",2,1,2016,4,2,806,1,1
"TQRMNORSQHJMLSCDEFIAH00497964",1,1,2016,4,2,495,1,1
"TQRMNORSQHLOLRCDEFIAH00498161",1,1,2016,4,2,743,1,1
"TQRMNORSRHJMLSCDEFIAH00497928",1,1,2016,4,2,495,1,1
"TQRMNORSRHLOLRCDEFIAH00498143",1,1,2016,4,2,743,2,1
"TQRMNORSSHLOLRCDEFIAH00498118",1,1,2016,4,2,743,2,2
"TQRMNORSTHLOLRCDEFIAH00498119",1,1,2016,4,2,743,2,2
"TQRMNORSUHJMLSCDEFIAH00497920",1,1,2016,4,2,495,1,1
"TQRMNORSUHLOLRCDEFIAH00498092",1,1,2016,4,2,743,1,1
"TQRMNORTQHKNKMCDEFIAH00498145",1,1,2016,4,2,712,2,2
"TQRMNORTQHMMLMCDEFIAH00497965",1,1,2016,4,2,551,2,1
"TQRMNORTRHJMLUCDEFIAH00497929",1,1,2016,4,2,564,2,2
"TQRMNORTRHKNKMCDEFIAH00487878",1,1,2016,4,2,712,2,1
"TQRMNORTRHMMLMCDEFIAH00497966",1,1,2016,4,2,551,2,2
"TQRMNORTRHMMLNCDEFIAH00487852",1,1,2016,4,2,532,1,1
"TQRMNORTSHJMLUCDEFIAH00497917",1,1,2016,4,2,564,2,1
"TQRMNORTSHKNKMCDEFIAH00487793",1,1,2016,4,2,712,2,1
"TQRMNORTSHMMLNCDEFIAH00487861",1,1,2016,4,2,532,2,1
"TQRMNORTTHJMLUCDEFIAH00497948",1,1,2016,4,2,564,1,1
"TQRMNORTTHKNKMCDEFIAH00487834",1,1,2016,4,2,712,2,1
"TQRMNORTTHMMLMCDEFIAH00487672",1,1,2016,4,2,551,1,1
"TQRMNORTUHJMLUCDEFIAH00497921",1,1,2016,4,2,564,1,1
"TQRMNORTUHKNKMCDEFIAH00498147",1,1,2016,4,2,712,2,2
