CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPRQHKNKMCDEFIAH00622939";1;4;2019;4;2;561;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;1;2019;4;2;729;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;2;2019;4;2;729;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;4;2019;4;2;729;1;1;2;1
"TQRMNOPRQHKOMLCDEFIAH00617481";1;5;2019;4;2;729;1;1;2;1
"TQRMNOPRRHKNKMCDEFIAH00617354";1;1;2019;4;2;561;1;1;2;1
"TQRMNOPRRHKNKMCDEFIAH00617354";1;2;2019;4;2;561;1;1;2;1
"TQRMNOPRRHKNKMCDEFIAH00617354";1;3;2019;4;2;561;1;1;2;2
"TQRMNOPRRHKOLOCDEFIAH00623014";1;1;2019;4;2;640;1;1;2;1
"TQRMNOPRRHKOLOCDEFIAH00623014";1;2;2019;4;2;640;1;1;2;1
"TQRMNOPRRHKOLOCDEFIAH00623014";1;3;2019;4;2;640;1;2;2;2
"TQRMNOPRRHKOMLCDEFIAH00617430";1;1;2019;4;2;729;1;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;2;2019;4;2;729;1;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;3;2019;4;2;729;1;2;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;4;2019;4;2;729;1;1;2;1
"TQRMNOPRRHKOMLCDEFIAH00617430";1;5;2019;4;2;729;1;1;2;2
"TQRMNOPRSHKNKMCDEFIAH00617423";1;1;2019;4;2;561;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;2;2019;4;2;561;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;3;2019;4;2;561;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;4;2019;4;2;561;2;1;2;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;5;2019;4;2;561;2;1;1;1
"TQRMNOPRSHKNKMCDEFIAH00617423";1;6;2019;4;2;561;2;1;1;1
"TQRMNOPRSHKOLOCDEFIAH00617407";1;1;2019;4;2;640;2;1;2;2
"TQRMNOPRSHKOLOCDEFIAH00617407";1;2;2019;4;2;640;2;1;2;1
"TQRMNOPRSHKOLOCDEFIAH00617407";1;3;2019;4;2;640;2;1;2;2
"TQRMNOPRTHKOLOCDEFIAH00617451";1;3;2019;4;2;640;3;2;2;1
"TQRMNOPRTHKOLOCDEFIAH00617451";1;4;2019;4;2;640;3;2;2;1
"TQRMNOPRTHKOLOCDEFIAH00617451";1;5;2019;4;2;640;3;2;2;2
"TQRMNOPRUHKOLOCDEFIAH00617463";1;3;2019;4;2;640;3;1;2;1
"TQRMNOPRUHKOLOCDEFIAH00617463";1;4;2019;4;2;640;3;1;2;1
"TQRMNOPRUHKOLOCDEFIAH00617463";1;5;2019;4;2;640;3;2;2;2
"TQRMNOPRUHLMLPCDEFIAH00646767";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPRUHLMLPCDEFIAH00646767";1;2;2019;4;2;552;1;1;1;1
"TQRMNOPSQHLMLPCDEFIAH00646640";1;1;2019;4;2;552;1;1;2;1
"TQRMNOPSQHLMLPCDEFIAH00646640";1;2;2019;4;2;552;1;2;2;2
"TQRMNOPSQHLMLPCDEFIAH00646640";1;3;2019;4;2;552;1;2;2;2
"TQRMNOPSQHMMLUCDEFIAH00646700";1;1;2019;4;2;639;1;2;2;2
"TQRMNOPSQHMMLUCDEFIAH00646700";1;2;2019;4;2;639;1;2;2;2
"TQRMNOPSRHLMLPCDEFIAH00646678";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPSRHLMLPCDEFIAH00646678";1;2;2019;4;2;552;1;1;1;1
"TQRMNOPSRHLMLPCDEFIAH00646678";1;3;2019;4;2;552;1;1;1;1
"TQRMNOPSRHLMLPCDEFIAH00646678";1;4;2019;4;2;552;1;1;1;1
"TQRMNOPSRHLMLPCDEFIAH00646678";1;5;2019;4;2;552;1;1;2;2
"TQRMNOPSSHKMKUCDEFIAH00617398";1;1;2019;4;2;616;1;1;2;1
"TQRMNOPSSHKMKUCDEFIAH00617398";1;2;2019;4;2;616;1;1;2;1
"TQRMNOPSSHKOLUCDEFIAH00640404";1;1;2019;4;2;633;1;1;1;1
"TQRMNOPSSHKOLUCDEFIAH00640404";1;2;2019;4;2;633;1;2;2;1
"TQRMNOPSSHKOLUCDEFIAH00640404";1;3;2019;4;2;633;1;2;2;1
"TQRMNOPSSHLMLUCDEFIAH00646732";1;1;2019;4;2;537;2;1;1;1
"TQRMNOPSSHLMLUCDEFIAH00646732";1;2;2019;4;2;537;2;1;1;1
"TQRMNOPSTHLMLPCDEFIAH00646771";1;1;2019;4;2;552;1;1;1;1
"TQRMNOPSTHLMLPCDEFIAH00646771";1;2;2019;4;2;552;1;1;1;1
